Fault_Node,Fault_Type,Detected,Test_Cube,Solve_Time_s
G180gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004004
G180gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=0 G105gat=X G108gat=1 G112gat=X G115gat=X,0.004432
G183gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=1 G21gat=0 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.007047
G183gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.007708
G184gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=1 G21gat=1 G24gat=1 G27gat=0 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.011945
G184gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.011922
G185gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=1 G34gat=0 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008516
G185gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.006869
G186gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=1 G34gat=1 G37gat=1 G40gat=0 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.012437
G186gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.011522
G187gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=1 G47gat=0 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008166
G187gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.007924
G188gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=1 G47gat=1 G50gat=1 G53gat=0 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.013409
G188gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.012924
G189gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=1 G60gat=0 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008957
G189gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008466
G190gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=1 G60gat=1 G63gat=1 G66gat=0 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.01214
G190gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.011399
G191gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=1 G73gat=0 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.007508
G191gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.007664
G192gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=1 G73gat=1 G76gat=1 G79gat=0 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.011481
G192gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.012169
G193gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=1 G86gat=0 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.007958
G193gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.007608
G194gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=1 G86gat=1 G89gat=1 G92gat=0 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.012279
G194gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.011197
G195gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=1 G99gat=0 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.009324
G195gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.006931
G196gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=1 G99gat=1 G102gat=1 G105gat=0 G108gat=X G112gat=1 G115gat=1,0.01095
G196gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.012187
G197gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=1 G112gat=0 G115gat=X,0.007435
G197gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008631
G198gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=1 G112gat=1 G115gat=0,0.012079
G198gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.012444
G199gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.003613
G199gat,sa1,YES,G1gat=0 G4gat=1 G8gat=X G11gat=X G14gat=X G17gat=X G21gat=X G24gat=X G27gat=X G30gat=X G34gat=X G37gat=X G40gat=X G43gat=X G47gat=X G50gat=X G53gat=X G56gat=X G60gat=X G63gat=X G66gat=X G69gat=X G73gat=X G76gat=X G79gat=X G82gat=X G86gat=X G89gat=X G92gat=X G95gat=X G99gat=X G102gat=X G105gat=X G108gat=X G112gat=X G115gat=X,0.002
G203gat,sa0,YES,G1gat=0 G4gat=1 G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=1 G112gat=1 G115gat=0,0.012064
G203gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=1 G112gat=1 G115gat=0,0.011908
G213gat,sa0,YES,G1gat=0 G4gat=1 G8gat=0 G11gat=0 G14gat=0 G17gat=X G21gat=1 G24gat=0 G27gat=X G30gat=X G34gat=1 G37gat=0 G40gat=X G43gat=X G47gat=1 G50gat=0 G53gat=X G56gat=X G60gat=1 G63gat=0 G66gat=X G69gat=X G73gat=1 G76gat=0 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=1 G99gat=0 G102gat=0 G105gat=0 G108gat=X G112gat=X G115gat=X,16.93139
G213gat,sa1,YES,G1gat=1 G4gat=0 G8gat=X G11gat=1 G14gat=X G17gat=1 G21gat=0 G24gat=1 G27gat=0 G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.007865
G223gat,sa0,YES,G1gat=0 G4gat=1 G8gat=X G11gat=X G14gat=X G17gat=X G21gat=X G24gat=X G27gat=X G30gat=X G34gat=X G37gat=X G40gat=X G43gat=X G47gat=X G50gat=X G53gat=X G56gat=X G60gat=X G63gat=X G66gat=X G69gat=X G73gat=X G76gat=X G79gat=X G82gat=X G86gat=X G89gat=X G92gat=X G95gat=X G99gat=X G102gat=X G105gat=X G108gat=X G112gat=X G115gat=X,0.001001
G223gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004452
G224gat,sa0,YES,G1gat=0 G4gat=1 G8gat=1 G11gat=0 G14gat=0 G17gat=1 G21gat=1 G24gat=0 G27gat=1 G30gat=1 G34gat=1 G37gat=0 G40gat=1 G43gat=1 G47gat=1 G50gat=0 G53gat=1 G56gat=1 G60gat=1 G63gat=0 G66gat=1 G69gat=1 G73gat=1 G76gat=0 G79gat=1 G82gat=1 G86gat=1 G89gat=0 G92gat=1 G95gat=1 G99gat=1 G102gat=0 G105gat=1 G108gat=1 G112gat=1 G115gat=1,0.017373
G224gat,sa1,YES,G1gat=1 G4gat=1 G8gat=1 G11gat=1 G14gat=0 G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=0 G105gat=X G108gat=1 G112gat=1 G115gat=1,0.010531
G227gat,sa0,YES,G1gat=0 G4gat=1 G8gat=1 G11gat=0 G14gat=1 G17gat=1 G21gat=1 G24gat=0 G27gat=0 G30gat=1 G34gat=1 G37gat=0 G40gat=1 G43gat=1 G47gat=1 G50gat=0 G53gat=1 G56gat=1 G60gat=1 G63gat=0 G66gat=1 G69gat=1 G73gat=1 G76gat=0 G79gat=1 G82gat=1 G86gat=1 G89gat=0 G92gat=1 G95gat=1 G99gat=1 G102gat=0 G105gat=1 G108gat=1 G112gat=1 G115gat=1,4.867927
G227gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=1 G21gat=1 G24gat=1 G27gat=0 G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=0 G105gat=X G108gat=1 G112gat=1 G115gat=1,0.012746
G230gat,sa0,YES,G1gat=0 G4gat=1 G8gat=1 G11gat=0 G14gat=1 G17gat=1 G21gat=1 G24gat=0 G27gat=1 G30gat=1 G34gat=1 G37gat=0 G40gat=0 G43gat=1 G47gat=1 G50gat=0 G53gat=1 G56gat=1 G60gat=1 G63gat=0 G66gat=1 G69gat=1 G73gat=1 G76gat=0 G79gat=1 G82gat=1 G86gat=1 G89gat=0 G92gat=1 G95gat=1 G99gat=1 G102gat=0 G105gat=1 G108gat=1 G112gat=1 G115gat=1,4.894576
G230gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=1 G34gat=1 G37gat=1 G40gat=0 G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=0 G105gat=X G108gat=1 G112gat=1 G115gat=1,0.011168
G233gat,sa0,YES,G1gat=0 G4gat=1 G8gat=1 G11gat=0 G14gat=1 G17gat=1 G21gat=1 G24gat=0 G27gat=1 G30gat=1 G34gat=1 G37gat=0 G40gat=1 G43gat=1 G47gat=1 G50gat=0 G53gat=0 G56gat=1 G60gat=1 G63gat=0 G66gat=1 G69gat=1 G73gat=1 G76gat=0 G79gat=1 G82gat=1 G86gat=1 G89gat=0 G92gat=1 G95gat=1 G99gat=1 G102gat=0 G105gat=1 G108gat=1 G112gat=1 G115gat=1,4.889309
G233gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=1 G47gat=1 G50gat=1 G53gat=0 G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=0 G105gat=X G108gat=1 G112gat=1 G115gat=1,0.011643
G236gat,sa0,YES,G1gat=0 G4gat=1 G8gat=1 G11gat=0 G14gat=1 G17gat=1 G21gat=1 G24gat=0 G27gat=1 G30gat=1 G34gat=1 G37gat=0 G40gat=1 G43gat=1 G47gat=1 G50gat=0 G53gat=1 G56gat=1 G60gat=1 G63gat=0 G66gat=0 G69gat=1 G73gat=1 G76gat=0 G79gat=1 G82gat=1 G86gat=1 G89gat=0 G92gat=1 G95gat=1 G99gat=1 G102gat=0 G105gat=1 G108gat=1 G112gat=1 G115gat=1,4.861991
G236gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=1 G60gat=1 G63gat=1 G66gat=0 G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=0 G105gat=X G108gat=1 G112gat=1 G115gat=1,0.010682
G239gat,sa0,YES,G1gat=0 G4gat=1 G8gat=1 G11gat=0 G14gat=1 G17gat=1 G21gat=1 G24gat=0 G27gat=1 G30gat=1 G34gat=1 G37gat=0 G40gat=1 G43gat=1 G47gat=1 G50gat=0 G53gat=1 G56gat=1 G60gat=1 G63gat=0 G66gat=1 G69gat=1 G73gat=1 G76gat=0 G79gat=0 G82gat=1 G86gat=1 G89gat=0 G92gat=1 G95gat=1 G99gat=1 G102gat=0 G105gat=1 G108gat=1 G112gat=1 G115gat=1,4.781582
G239gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=1 G73gat=1 G76gat=1 G79gat=0 G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=0 G105gat=X G108gat=1 G112gat=1 G115gat=1,0.010511
